塞曼效应实验
20221013
sDDF
JHK
E:\20161017软件\20221013_sDDF
2642
785	104
786	106
787	108
788	111
789	113
790	116
791	116
792	120
793	124
794	124
795	128
796	128
797	128
798	132
799	133
800	135
801	136
802	136
803	136
804	136
805	136
806	136
807	140
808	140
809	136
810	136
811	136
812	136
813	136
814	136
815	132
816	132
817	132
818	132
819	132
820	128
821	128
822	127
823	125
824	124
825	124
826	124
827	124
828	124
829	124
830	124
831	124
832	124
833	124
834	126
835	128
836	128
837	132
838	132
839	136
840	136
841	140
842	140
843	144
844	148
845	152
846	156
847	160
848	164
849	172
850	176
851	180
852	184
853	188
854	196
855	200
856	207
857	213
858	220
859	226
860	232
861	240
862	248
863	252
864	260
865	268
866	276
867	280
868	284
869	288
870	292
871	304
872	308
873	308
874	312
875	316
876	324
877	324
878	328
879	329
880	331
881	332
882	332
883	336
884	336
885	336
886	336
887	336
888	332
889	332
890	331
891	329
892	328
893	328
894	324
895	322
896	320
897	318
898	316
899	312
900	308
901	305
902	303
903	300
904	300
905	300
906	296
907	296
908	296
909	292
910	292
911	292
912	292
913	292
914	294
915	296
916	300
917	300
918	304
919	304
920	308
921	316
922	320
923	324
924	328
925	336
926	344
927	352
928	356
929	364
930	372
931	376
932	384
933	392
934	404
935	412
936	420
937	432
938	444
939	448
940	456
941	464
942	472
943	476
944	484
945	492
946	500
947	504
948	510
949	516
950	516
951	520
952	524
953	524
954	524
955	524
956	524
957	524
958	524
959	521
960	519
961	516
962	512
963	508
964	504
965	496
966	492
967	488
968	480
969	472
970	465
971	459
972	452
973	444
974	440
975	432
976	420
977	412
978	408
979	400
980	396
981	388
982	384
983	378
984	372
985	368
986	364
987	360
988	356
989	356
990	352
991	352
992	352
993	352
994	353
995	355
996	356
997	356
998	360
999	364
1000	372
1001	376
1002	381
1003	386
1004	391
1005	396
1006	404
1007	412
1008	416
1009	424
1010	428
1011	436
1012	440
1013	448
1014	460
1015	464
1016	468
1017	472
1018	477
1019	483
1020	488
1021	492
1022	496
1023	500
1024	500
1025	504
1026	504
1027	504
1028	504
1029	504
1030	504
1031	504
1032	500
1033	500
1034	492
1035	492
1036	488
1037	484
1038	480
1039	472
1040	467
1041	461
1042	456
1043	450
1044	444
1045	440
1046	432
1047	424
1048	420
1049	412
1050	408
1051	404
1052	400
1053	394
1054	388
1055	384
1056	380
1057	380
1058	376
1059	376
1060	372
1061	372
1062	372
1063	372
1064	373
1065	375
1066	376
1067	380
1068	384
1069	388
1070	392
1071	396
1072	400
1073	404
1074	412
1075	416
1076	425
1077	435
1078	444
1079	448
1080	456
1081	464
1082	472
